題號,類型,題目,答案,圖片檔案,圖片URL,題目ID
1,Q,s_____________y,,mja_104.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_104.jpg,2007
2,Q,s_____________t,,mja_115.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_115.jpg,2018
3,Q,r_____________t,,mja_019.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_019.jpg,190
4,Q,C_____________a,,mja_025.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_025.jpg,196
5,Q,c_____________n,,mja_008.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_008.jpg,179
6,Q,p_____________r,,mja_016.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_016.jpg,3739
7,Q,c_____________e,,mja_015.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_015.jpg,3738
8,Q,n_____________t,,mja_173.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_173.jpg,3146
9,Q,c_____________y,,mja_043.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_043.jpg,917
10,Q,s_____________e,,mja_066.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_066.jpg,1301
11,Q,s_____________y,,mja_038.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_038.jpg,912
12,Q,f_____________r,,mja_139.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_139.jpg,2642
13,Q,l_____________n,,mja_014.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_014.jpg,185
14,Q,f_____________y,,mja_144.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_144.jpg,2647
15,Q,b_____________m,,mja_008.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_008.jpg,3731
16,Q,c_____________p,,mja_111.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_111.jpg,2014
17,Q,w_____________y,,mja_143.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_143.jpg,2646
18,Q,k_____________e,,mja_059.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_059.jpg,933
19,Q,p_____________e,,mja_155.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_155.jpg,3128
20,Q,b_____________m,,mja_017.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_017.jpg,3740
21,Q,w_____________w,,mja_028.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_028.jpg,3751
22,Q,e_____________t,,mja_029.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_029.jpg,3752
23,Q,s_____________h,,mja_162.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_162.jpg,3135
24,Q,e_____________n,,mja_022.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_022.jpg,193
25,Q,n_____________k,,mja_145.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_145.jpg,2648
26,Q,d_____________e,,mja_103.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_103.jpg,2006
27,Q,m_____________n,,mja_080.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_080.jpg,1315
28,Q,k_____________p,,mja_109.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_109.jpg,2012
29,Q,b_____________k,,mja_169.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_169.jpg,3142
30,Q,s_____________m,,mja_044.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_044.jpg,918
31,Q,c_____________ying,,,,217
32,Q,g_____________es,,,,951
33,Q,y_____________w,,,,3194
34,Q,s_____________r,,,,2654
35,Q,j_____________t,,,,3789
36,Q,r_____________t,,,,3784
37,Q,c_____________a,,,,2692
38,Q,f_____________ts,,,,3164
39,Q,h_____________r,,,,3790
40,Q,s_____________n,,,,227
41,Q,c_____________a,,,,3159
42,Q,f_____________rs,,,,3181
43,Q,s_____________ying,,,,221
44,Q,t_____________ts,,,,949
45,Q,s_____________n,,,,1354
46,Q,s_____________k,,,,2691
47,Q,s_____________l,,,,2050
48,Q,s_____________d,,,,3791
49,Q,r_____________y,,,,2665
50,Q,m_____________ys,,,,209
51,Q,b_____________r,,,,3178
52,Q,W_____________y,,,,938
53,Q,p_____________r,,,,230
54,Q,t_____________r,,,,2043
55,Q,p_____________e,,,,2672
56,Q,S_____________y,,,,238
57,Q,e_____________y,,,,967
58,Q,cu_____________es,,,,3796
59,Q,s_____________g,,,,3786
60,Q,t_____________l,,,,1337
61,Q,b_____________d,,,,3198
62,Q,o_____________e,,,,2696
63,Q,o_____________e,,,,22
64,Q,l_____________x,,,,3187
65,Q,n_____________e,,,,3773
66,Q,t_____________y,,,,3760
67,Q,h_____________r,,,,1340
68,Q,p_____________le,,,,2066
69,Q,h_____________y,,,,945
70,Q,c_____________rs,,,,3165
71,Q,b_____________y,,,,2055
72,Q,r_____________its,,,,1347
73,Q,g_____________l,,,,1327
74,Q,l_____________g,,,,2660
75,Q,s_____________ts,,,,1345
76,Q,o'_____________k,,,,989
77,Q,m_____________m,,,,252
78,Q,n_____________r,,,,1384
79,Q,u_____________r,,,,2702
80,Q,c_____________ks,,,,1387
81,Q,h_____________d,,,,1000
82,Q,c_____________e,,,,1380
83,Q,c_____________r,,,,2077
84,Q,h_____________e,,,,244
85,Q,M_____________y,,,,3802
86,Q,e_____________rs,,,,1389
87,Q,c_____________ie,,,,2087
88,Q,t_____________ne,,,,983
89,Q,g_____________t,,,,1383
90,Q,E_____________d,,,,3208
91,Q,p_____________t,,,,258
92,Q,f_____________e,,,,2069
93,Q,e_____________t,,,,2075
94,Q,d_____________rs,,,,985
95,Q,n_____________n,,,,3822
96,Q,p_____________e,,,,2720
97,Q,c_____________r,,,,2716
98,Q,s_____________t,,,,3820
99,Q,s_____________n,,,,251
100,Q,m_____________p,,,,1391
101,,,,,,
